Territoire;Statut;Date - Heure;Production totale (MW);Thermique (MW);Bagasse/charbon (MW);Hydraulique (MW);Photovoltaïque (MW);Photovoltaïque avec stockage (MW);Eolien (MW);Bioénergies (MW);Batteries (MWh);Coût moyen de production (€/MWh)
Réunion;Validé;2018-12-09T02:00:00+04:00;271.0956713;63.20137722;138.7578476;66.567328;-0.3874168;-0.066127581;1.221329487;1.801333333;0.0;
Réunion;Validé;2018-12-09T04:00:00+04:00;265.7551211;63.94866557;142.8557997;56.14315441;-0.38186641600000004;-0.065127587;1.45316209;1.801333333;0.0;
Réunion;Validé;2018-07-30T16:00:00+04:00;347.5417284;81.46935472;174.6279221;62.1401757;20.24339898;7.029115265;0.335339906;1.696421654;0.0;
Réunion;Validé;2018-12-09T22:00:00+04:00;382.8035441;155.727858;151.2721821;73.27237;-0.40184779800000003;-0.075183701;0.373498824;1.747666667;0.887;
Réunion;Validé;2018-07-30T22:00:00+04:00;341.4426518;66.64949197;183.9527608;88.76323192;-0.37621756500000003;-0.092248285;-0.049339288;1.7079721860000001;0.887;
Réunion;Validé;2018-12-10T02:00:00+04:00;260.4067507;88.28143138;146.287376;24.59799984;-0.38408657;-0.065136763;-0.06133314;1.7505000000000002;0.0;
Réunion;Validé;2018-07-31T13:00:00+04:00;348.9472364;45.92747677;176.6760931;46.87151786;69.30051577;8.379448508;0.17829044400000002;1.613893938;0.0;
Réunion;Validé;2018-12-10T11:00:00+04:00;465.6703678;149.3829239;141.0243011;64.18942016;101.3899738;8.004416955;0.42383199800000004;1.2555;0.0;
Réunion;Validé;2018-12-10T20:00:00+04:00;430.2773265;191.5388566;141.389278;94.21210108;-0.28306958200000004;0.041995805000000004;0.6669978990000001;1.824166667;0.887;
Réunion;Validé;2018-08-01T16:00:00+04:00;353.2060513;77.92094526;166.6065868;85.55224956;18.53615876;2.949374604;-0.064484866;1.705221171;0.0;
Réunion;Validé;2018-08-01T17:00:00+04:00;364.1136743;120.6996615;169.0515217;65.35837801;5.452419998;1.434794426;-0.062647214;1.701545765;0.47800000000000004;
Réunion;Validé;2018-12-11T20:00:00+04:00;439.0026025;194.488559;145.6540697;93.71353902;0.8847312020000001;1.097038942;0.635997997;1.642666667;0.886;
Réunion;Validé;2018-08-02T11:00:00+04:00;385.4211406;77.88047455;153.5639045;49.29221783;94.39825439;8.379429044;0.250755916;1.656104386;0.0;
Réunion;Validé;2018-12-12T05:00:00+04:00;313.8049479;146.5693386;134.3940472;31.15133608;-0.20425413;-0.073185494;0.325998973;1.641666667;0.0;
Réunion;Validé;2018-08-03T09:00:00+04:00;379.5316072;44.13571545;182.8527342;76.17299992;65.69079752;7.347152777;1.7626420180000002;1.569565289;0.0;
Réunion;Validé;2018-12-12T20:00:00+04:00;433.3212524;174.7721957;184.3013545;70.49869937;-0.19315336200000002;0.12782579900000002;0.9383303780000001;1.991;0.885;
Réunion;Validé;2018-08-03T22:00:00+04:00;352.5864758;76.49867719;182.5829098;91.23434171;-0.29279598900000003;0.059998873;-0.038924802;1.655269067;0.887;
Réunion;Validé;2018-12-14T08:00:00+04:00;444.5899445;109.688361;181.7658571;72.34524853;71.25582921;7.425316731;0.45933188700000005;1.65;0.0;
Réunion;Validé;2018-08-06T19:00:00+04:00;405.8318931;124.7144138;171.7732169;106.5660604;-0.322799818;-0.009090984;0.9478941150000001;1.275198707;0.887;
Réunion;Validé;2018-12-15T12:00:00+04:00;408.2441114;59.22576779;182.7948217;68.16073238;90.17375788;4.488537245;1.795161013;1.605333333;0.0;
Réunion;Validé;2018-08-07T04:00:00+04:00;237.8473297;47.08235314;152.8019151;35.90057451;-0.350734417;-0.064135645;1.199485327;1.2778717290000001;0.0;
Réunion;Validé;2018-12-16T16:00:00+04:00;344.2732598;58.07314381;159.0304005;57.17050966;59.50122607;7.31365142;1.573161712;1.611166667;0.0;
Réunion;Validé;2018-08-08T06:00:00+04:00;294.3260901;45.93845368;175.0661188;72.20592802;-0.355907491;-0.083189042;0.37521504800000005;1.179471095;0.0;
Réunion;Validé;2018-12-16T23:00:00+04:00;322.0289845;106.7572185;153.8362584;57.4290834;-0.432929948;-0.107305723;2.149659896;1.6139999999999999;0.783;
Réunion;Validé;2018-08-08T23:00:00+04:00;307.8085621;57.83977184;173.9333384;74.11047096;-0.368322869;-0.080202247;-0.009188258000000001;1.553694219;0.8290000000000001;
Réunion;Validé;2018-12-17T01:00:00+04:00;261.3627508;90.53179869;136.2849015;31.54330162;-0.422939257;-0.106305724;1.9186606240000001;1.613333333;0.0;
Réunion;Validé;2018-08-09T04:00:00+04:00;245.5539896;45.92124102;166.9533726;31.62441609;-0.366253639;-0.07417699200000001;-0.059640148000000004;1.55503073;0.0;
Réunion;Validé;2018-12-17T16:00:00+04:00;425.7425556;159.6182962;157.3205623;33.44012224;62.52507525;7.985509888;3.2636563880000002;1.589333333;0.0;
Réunion;Validé;2018-08-10T11:00:00+04:00;383.8679273;46.14398273;177.9367268;52.76544883;92.76563223;8.653427628;4.04383591;1.5588731999999998;0.0;
Réunion;Validé;2018-12-18T08:00:00+04:00;426.747453;132.043738;135.2677028;67.8473196;79.02747682;7.877392347;3.132823466;1.5510000000000002;0.0;
Réunion;Validé;2018-08-12T00:00:00+04:00;255.7703895;30.01967438;152.7584249;66.46773609;-0.369357484;-0.07618392;5.173490476;1.796605121;0.0;
Réunion;Validé;2018-12-19T07:00:00+04:00;378.7380157;91.96298686;165.5544887;67.9556936;42.91778889;5.518900955;3.18665663;1.6415000000000002;0.0;
Réunion;Validé;2018-08-13T05:00:00+04:00;244.4898805;45.48981066;165.438897;28.71335636;-0.35694210600000004;-0.07217588;4.045840621;1.2310938390000001;0.0;
Réunion;Validé;2018-08-16T23:00:00+04:00;306.1767862;61.12900243;159.8972263;80.87747897;-0.392119009;-0.09124135800000001;2.291050387;1.635388463;0.8300000000000001;
Réunion;Validé;2018-08-20T06:00:00+04:00;319.9920694;52.54714604;177.861722;84.27850582;-0.189334508;0.039160393;3.609816011;1.8450536510000002;0.0;
Réunion;Validé;2018-08-14T17:00:00+04:00;361.6325752;91.65272786;182.1612541;64.80637801;11.72218569;6.448568847;2.655239526;1.705221171;0.481;
Réunion;Validé;2018-08-21T09:00:00+04:00;383.9481319;97.29062776;170.6484276;63.31827313;43.82524833;6.360127944;1.079369735;1.426057403;0.0;
Réunion;Validé;2018-08-15T01:00:00+04:00;234.3450365;30.72185129;149.9943345;49.49443341;-0.36418441;-0.076179891;3.449272083;1.125509457;0.0;
